Gareth Bale|Gareth Frank Bale (born 16 July 1989) is a Welsh professional footballer who plays as a winger for Spanish club Real Madrid and the Wales national team.
Jonathan Trott|Ian Jonathan Leonard Trott (born 22 April 1981) is a South African-born former England Test cricketer.
John Cena|John Felix Anthony Cena (; born April 23, 1977) is an American professional wrestler, rapper, actor, and reality television show host.
David Beckham|David Robert Joseph Beckham,  (; born 2 May 1975) is an English former professional footballer.
Undertaker|A funeral director, also known as an undertaker (British English) or mortician (American English), is a professional involved in the business of funeral rites.
"Johan ""n0tail"" Sundstein"|"Johan Sundstein (born 8 August 1993), known by his ingame alias N0tail, is a professional Dota 2 player currently playing for OG.


== History ==


=== Heroes of Newerth ===
N0tail at the age of 15 met Jascha ""NoVa"" Markuse and Tal ""Fly"" Aizik in-game where they decided to start playing together."
SsaSpartan|SagamoreHill Broadcasting LLC is a privately held American holding company that owns seven television stations based in the Great Lakes and southern United States regions.
Timothy Fosu-Mensah|Evans Timothy Fosu Fosu-Mensah (born 2 January 1998) is a Dutch professional footballer who plays as a defensive midfielder, centre-back or full-back for English club Crystal Palace, on loan from Manchester United, and the Netherlands national team.
Lewis Hamilton|Lewis Carl Davidson Hamilton MBE (born 7 January 1985) is a British racing driver who races in Formula One for the Mercedes AMG Petronas team.
Michy Batshuayi|Michy Batshuayi-Atunga (born 2 October 1993) is a Belgian professional footballer who plays as a striker for Premier League club Chelsea and the Belgium national team.
"Djardel ""Dj"" Mampusti"|This is a list of Filipino athletes who have given pride and honor to the Philippines.
Tim Howard|Timothy Matthew Howard (born March 6, 1979) is an American soccer player who captains the MLS club Colorado Rapids and plays for the United States national team as a goalkeeper.
Miracle- Dota 2|Amer al-Barkawi (born June 20, 1997), better known by his alias Miracle-, is a professional Jordanian–Polish Dota 2 player for Team Liquid.
Frank Lampard|Frank James Lampard  (born 20 June 1978) is an English former professional footballer and children's writer.
Chris Gayle|Christopher Henry Gayle, OD (born 21 September 1979) is a Jamaican cricketer and a former captain, who plays international cricket for the West Indies.
Stephen Curry|Wardell Stephen Curry II (born March 14, 1988) is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA).
Glenn Maxwell|Glenn James Maxwell (born 14 October 1988) is an Australian cricketer who plays Tests, One Day International and Twenty 20 International matches for Australia.
Floyd Mayweather|Floyd Joy Mayweather Jr.
Conor McGregor|Conor Anthony McGregor (Irish: Conchúr Antóin Mac Gréagóir; born 14 July 1988) is an Irish professional mixed martial artist and professional boxer who is currently signed to the Ultimate Fighting Championship (UFC).
Puppey|Clement Ivanov (born March 6, 1990) is an Estonian professional Dota 2 player from Tartu, currently playing for Team Secret.
Pedro|Pedro (alternate archaic spelling Pêro) is a masculine given name.
SumaiL|A summit is a point on a surface that is higher in elevation than all points immediately adjacent to it.
Andy Murray|Sir Andrew Barron Murray,  (born 15 May 1987) is a British professional tennis player from Scotland currently ranked world no.
RIP Phillip Hughes|Albert Hughes and Allen Hughes (born March 1, 1972), known together professionally as the Hughes brothers, are American film directors and producers.
"Ludwig ""Zai"" Wahlberg"|Team Secret is a popular global eSports team based in Turkey that formed in 2014, best known for their DOTA 2 team.
Nathan Ake|Nathan Benjamin Aké (born 18 February 1995) is a Dutch professional footballer who plays as a centre back for Bournemouth and the Netherlands national team.
Dharmaraj Ravanan|Dharmaraj Ravanan (born on 27 July 1987 in Tiruchirappalli, Tamil Nadu) is an Indian football player.
MC Mary Kom|Chungneijang Mery Kom Hmangte (born 24 November 1982), better known as Mary Kom, is an Olympic Indian boxer hailing from the Kom tribe in Manipur.
